id,stage,stage_name,label,intent_description,example_question
1,1,방향 탐색,CAREER_UNDECIDED,진로 자체가 정해지지 않아 큰 방향 탐색이 필요한 질문,취업은 해야 하는데 어떤 직무를 선택해야 할지 모르겠어요
2,1,방향 탐색,CAREER_UNDECIDED,진로 자체가 정해지지 않아 큰 방향 탐색이 필요한 질문,뭘 하고 싶은지 모르겠는데 어디서부터 생각해야 할까요
3,1,방향 탐색,CAREER_UNDECIDED,진로 자체가 정해지지 않아 큰 방향 탐색이 필요한 질문,전공을 살릴지 새 분야로 갈지 고민돼요
4,1,방향 탐색,CAREER_UNDECIDED,진로 자체가 정해지지 않아 큰 방향 탐색이 필요한 질문,졸업이 얼마 안 남았는데 아직 진로를 못 정했어요
5,1,방향 탐색,CAREER_UNDECIDED,진로 자체가 정해지지 않아 큰 방향 탐색이 필요한 질문,저한테 맞는 직업이 뭔지 모르겠어요
6,1,방향 탐색,CAREER_UNDECIDED,진로 자체가 정해지지 않아 큰 방향 탐색이 필요한 질문,취업 준비를 시작해야 하는데 목표가 없어요
7,1,방향 탐색,CAREER_UNDECIDED,진로 자체가 정해지지 않아 큰 방향 탐색이 필요한 질문,어떤 산업이 저랑 맞는지 감이 안 와요
8,1,방향 탐색,CAREER_UNDECIDED,진로 자체가 정해지지 않아 큰 방향 탐색이 필요한 질문,직무를 정하기 전에 제 성향부터 알고 싶어요
9,1,방향 탐색,CAREER_UNDECIDED,진로 자체가 정해지지 않아 큰 방향 탐색이 필요한 질문,취업 방향을 못 잡아서 너무 막막해요
10,1,방향 탐색,CAREER_UNDECIDED,진로 자체가 정해지지 않아 큰 방향 탐색이 필요한 질문,직업을 고를 때 무엇을 기준으로 봐야 하나요
11,1,방향 탐색,MAJOR_TO_CAREER,전공을 살려 어떤 진로로 연결할 수 있는지 묻는 질문,스포츠아웃도어학과를 나왔는데 전공을 살려 취업하고 싶어요
12,1,방향 탐색,MAJOR_TO_CAREER,전공을 살려 어떤 진로로 연결할 수 있는지 묻는 질문,경영학과 전공이면 어떤 직무가 잘 맞을까요
13,1,방향 탐색,MAJOR_TO_CAREER,전공을 살려 어떤 진로로 연결할 수 있는지 묻는 질문,컴퓨터공학 전공인데 개발 말고 갈 수 있는 분야가 있나요
14,1,방향 탐색,MAJOR_TO_CAREER,전공을 살려 어떤 진로로 연결할 수 있는지 묻는 질문,디자인 전공을 살릴 수 있는 IT 직무가 궁금해요
