document_id,분류,직무 설명,능력단위 명,content
NCS-00001,경영·회계·사무 > 경영기획,"조직의 목표를 설정하고 사업 방향, 실행 계획, 성과 관리 체계를 수립하는 직무",경영전략 수립,"분류: 경영·회계·사무 > 경영기획. 직무 설명: 조직의 목표를 설정하고 사업 방향, 실행 계획, 성과 관리 체계를 수립하는 직무. 능력단위 명: 경영전략 수립."
NCS-00002,경영·회계·사무 > 경영기획,시장과 내부 역량을 분석하여 신규 사업과 조직 운영 방향을 기획하는 직무,사업환경 분석,분류: 경영·회계·사무 > 경영기획. 직무 설명: 시장과 내부 역량을 분석하여 신규 사업과 조직 운영 방향을 기획하는 직무. 능력단위 명: 사업환경 분석.
NCS-00003,경영·회계·사무 > 경영기획,조직 성과를 측정하고 개선 과제를 도출하여 실행을 관리하는 직무,경영성과 관리,분류: 경영·회계·사무 > 경영기획. 직무 설명: 조직 성과를 측정하고 개선 과제를 도출하여 실행을 관리하는 직무. 능력단위 명: 경영성과 관리.
NCS-00004,경영·회계·사무 > 사무행정,"문서 작성, 자료 관리, 회의 운영 등 조직의 행정 업무를 지원하는 직무",문서작성,"분류: 경영·회계·사무 > 사무행정. 직무 설명: 문서 작성, 자료 관리, 회의 운영 등 조직의 행정 업무를 지원하는 직무. 능력단위 명: 문서작성."
NCS-00005,경영·회계·사무 > 사무행정,"업무 자료를 분류, 보관, 공유하여 조직 내 정보 활용을 지원하는 직무",문서관리,"분류: 경영·회계·사무 > 사무행정. 직무 설명: 업무 자료를 분류, 보관, 공유하여 조직 내 정보 활용을 지원하는 직무. 능력단위 명: 문서관리."
NCS-00006,경영·회계·사무 > 사무행정,"회의 준비, 회의 진행 지원, 회의 결과 정리를 수행하는 직무",회의 운영 지원,"분류: 경영·회계·사무 > 사무행정. 직무 설명: 회의 준비, 회의 진행 지원, 회의 결과 정리를 수행하는 직무. 능력단위 명: 회의 운영 지원."
NCS-00007,경영·회계·사무 > 회계,기업의 거래를 회계 기준에 따라 기록하고 재무 정보를 관리하는 직무,전표관리,분류: 경영·회계·사무 > 회계. 직무 설명: 기업의 거래를 회계 기준에 따라 기록하고 재무 정보를 관리하는 직무. 능력단위 명: 전표관리.
NCS-00008,경영·회계·사무 > 회계,재무제표 작성과 회계 결산을 통해 조직의 재무 상태를 파악하는 직무,결산관리,분류: 경영·회계·사무 > 회계. 직무 설명: 재무제표 작성과 회계 결산을 통해 조직의 재무 상태를 파악하는 직무. 능력단위 명: 결산관리.
NCS-00009,경영·회계·사무 > 세무,"세법을 바탕으로 세금 신고, 납부, 세무 자료 관리를 수행하는 직무",세무신고,"분류: 경영·회계·사무 > 세무. 직무 설명: 세법을 바탕으로 세금 신고, 납부, 세무 자료 관리를 수행하는 직무. 능력단위 명: 세무신고."
NCS-00010,경영·회계·사무 > 인사,"채용, 평가, 보상, 교육 등 조직 구성원의 생애주기 관리를 수행하는 직무",채용관리,"분류: 경영·회계·사무 > 인사. 직무 설명: 채용, 평가, 보상, 교육 등 조직 구성원의 생애주기 관리를 수행하는 직무. 능력단위 명: 채용관리."
NCS-00011,경영·회계·사무 > 인사,직원의 역량 향상을 위한 교육 계획 수립과 교육 운영을 담당하는 직무,인재육성,분류: 경영·회계·사무 > 인사. 직무 설명: 직원의 역량 향상을 위한 교육 계획 수립과 교육 운영을 담당하는 직무. 능력단위 명: 인재육성.
NCS-00012,경영·회계·사무 > 총무,"자산, 비품, 시설, 행사 등 조직 운영에 필요한 지원 업무를 수행하는 직무",자산관리,"분류: 경영·회계·사무 > 총무. 직무 설명: 자산, 비품, 시설, 행사 등 조직 운영에 필요한 지원 업무를 수행하는 직무. 능력단위 명: 자산관리."
NCS-00013,금융·보험 > 금융영업,고객의 재무 상황과 목적을 파악하여 적절한 금융 상품을 안내하는 직무,금융상품 상담,분류: 금융·보험 > 금융영업. 직무 설명: 고객의 재무 상황과 목적을 파악하여 적절한 금융 상품을 안내하는 직무. 능력단위 명: 금융상품 상담.
NCS-00014,금융·보험 > 금융영업,고객 거래 정보를 관리하고 금융 서비스 이용 절차를 지원하는 직무,고객거래 관리,분류: 금융·보험 > 금융영업. 직무 설명: 고객 거래 정보를 관리하고 금융 서비스 이용 절차를 지원하는 직무. 능력단위 명: 고객거래 관리.
NCS-00015,금융·보험 > 금융관리,금융 거래의 위험 요소를 파악하고 리스크를 분석하여 관리하는 직무,금융리스크 관리,분류: 금융·보험 > 금융관리. 직무 설명: 금융 거래의 위험 요소를 파악하고 리스크를 분석하여 관리하는 직무. 능력단위 명: 금융리스크 관리.
